Municipality Name,County, Total,,,,,,,,,,,,,,,
Lopatcong township,Warren,56846659,,,,,,,,,,,,,,,
Lumberton township,Burlington,111758985,,,,,,,,,,,,,,,
Lyndhurst township,Bergen,180664635,,,,,,,,,,,,,,,
Madison borough,Morris,156957273,,,,,,,,,,,,,,,
Magnolia borough,Camden,26049320,,,,,,,,,,,,,,,
Mahwah township,Bergen,340951480,,,,,,,,,,,,,,,
Manalapan township,Monmouth,264331516,,,,,,,,,,,,,,,
Manasquan borough,Monmouth,36598162,,,,,,,,,,,,,,,
Manchester township,Ocean,288809275,,,,,,,,,,,,,,,
Mansfield township,Burlington,81082195,,,,,,,,,,,,,,,
Mansfield township,Warren,43768560,,,,,,,,,,,,,,,
Mantoloking borough,Ocean,1400881,,,,,,,,,,,,,,,
Mantua township,Gloucester,136763310,,,,,,,,,,,,,,,
Manville borough,Somerset,64944693,,,,,,,,,,,,,,,
Maple Shade township,Burlington,124333235,,,,,,,,,,,,,,,
Maplewood township,Essex,108686833,,,,,,,,,,,,,,,
Marlboro township,Monmouth,288402915,,,,,,,,,,,,,,,
Matawan borough,Monmouth,85193948,,,,,,,,,,,,,,,
Maywood borough,Bergen,61497797,,,,,,,,,,,,,,,
Medford Lakes borough,Burlington,21765315,,,,,,,,,,,,,,,
Medford township,Burlington,188308610,,,,,,,,,,,,,,,
Mendham borough,Morris,47335721,,,,,,,,,,,,,,,
Mendham township,Morris,35427333,,,,,,,,,,,,,,,
Merchantville borough,Camden,21654720,,,,,,,,,,,,,,,
Metuchen borough,Middlesex,105812455,,,,,,,,,,,,,,,
Middlesex borough,Middlesex,130566518,,,,,,,,,,,,,,,
Middletown township,Monmouth,455495249,,,,,,,,,,,,,,,
Midland Park borough,Bergen,67025762,,,,,,,,,,,,,,,
Milford borough,Hunterdon,10716115,,,,,,,,,,,,,,,
Millburn township,Essex,217551283,,,,,,,,,,,,,,,
Millstone borough,Somerset,2027223,,,,,,,,,,,,,,,
Millstone township,Monmouth,79915630,,,,,,,,,,,,,,,
Milltown borough,Middlesex,69329774,,,,,,,,,,,,,,,
Mine Hill township,Morris,24705852,,,,,,,,,,,,,,,
Monmouth Beach borough,Monmouth,18914002,,,,,,,,,,,,,,,
Monroe township,Salem,274707395,,,,,,,,,,,,,,,
Monroe township,Middlesex,256666590,,,,,,,,,,,,,,,
Montague township,Sussex,31975061,,,,,,,,,,,,,,,
Montclair township,Essex,283839096,,,,,,,,,,,,,,,
Montgomery township,Somerset,177592577,,,,,,,,,,,,,,,
Montvale borough,Bergen,91762416,,,,,,,,,,,,,,,
Montville township,Morris,239040282,,,,,,,,,,,,,,,
Moonachie borough,Bergen,74325332,,,,,,,,,,,,,,,
Moorestown township,Burlington,254856140,,,,,,,,,,,,,,,
Morris Plains borough,Morris,97727664,,,,,,,,,,,,,,,
Morris township,Morris,176943716,,,,,,,,,,,,,,,
Morristown town,Morris,443331064,,,,,,,,,,,,,,,
Mount Arlington borough,Morris,55762570,,,,,,,,,,,,,,,
Mount Ephraim borough,Camden,30988865,,,,,,,,,,,,,,,
Mount Holly township,Burlington,97692980,,,,,,,,,,,,,,,
Mount Laurel township,Burlington,479226020,,,,,,,,,,,,,,,
Mount Olive township,Morris,286678948,,,,,,,,,,,,,,,
Mountain Lakes borough,Morris,54151990,,,,,,,,,,,,,,,
Mountainside borough,Union,86885995,,,,,,,,,,,,,,,
